match_id,date,winner,by,teams,venue,toss_winner,toss_decision,1st innings team,1st innings score,2nd innings team,2nd innings score,Fours_1,Fours_2,Sixes_1,Sixes_2
598067,2013-05-19,Pune Warriors,38 runs,Delhi Daredevils vs Pune Warriors,Subrata Roy Sahara Stadium,Pune Warriors,bat,Pune Warriors,172-5,Delhi Daredevils,134-9,14,12,8,2
829725,2015-04-15,Delhi Daredevils,5 wickets,Delhi Daredevils vs Kings XI Punjab,Maharashtra Cricket Association Stadium Pune,Kings XI Punjab,bat,Kings XI Punjab,165-7,Delhi Daredevils,169-5,7,17,10,5
501255,2011-05-14,Royal Challengers Bangalore,4 wickets,Kolkata Knight Riders vs Royal Challengers Bangalore,M Chinnaswamy Stadium Bengaluru,Royal Challengers Bangalore,field,Kolkata Knight Riders,89-4,Royal Challengers Bangalore,105-6,7,13,3,2
1082637,2017-05-07,Gujarat Lions,6 wickets,Gujarat Lions vs Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium Mohali Chandigarh,Gujarat Lions,field,Kings XI Punjab,189-3,Gujarat Lions,192-4,14,17,7,6
419157,2010-04-17,Mumbai Indians,57 runs,Mumbai Indians vs Royal Challengers Bangalore,M Chinnaswamy Stadium Bengaluru,Royal Challengers Bangalore,field,Mumbai Indians,191-4,Royal Challengers Bangalore,134-9,14,10,10,3
980943,2016-04-26,Rising Pune Supergiants,34 runs,Rising Pune Supergiants vs Sunrisers Hyderabad,Rajiv Gandhi International Stadium Uppal Hyderabad,Rising Pune Supergiants,field,Sunrisers Hyderabad,118-8,Rising Pune Supergiants,94-3,6,11,3,2
1216507,2020-10-11,Rajasthan Royals,5 wickets,Rajasthan Royals vs Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,158-4,Rajasthan Royals,163-5,6,12,9,6
548328,2012-04-18,Kolkata Knight Riders,8 wickets,Kings XI Punjab vs Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium Mohali Chandigarh,Kings XI Punjab,bat,Kings XI Punjab,124-7,Kolkata Knight Riders,127-2,9,12,1,3
598030,2013-04-25,Chennai Super Kings,5 wickets,Chennai Super Kings vs Sunrisers Hyderabad,MA Chidambaram Stadium Chepauk Chennai,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,159-6,Chennai Super Kings,160-5,17,15,4,6
501202,2011-04-10,Pune Warriors,7 wickets,Kings XI Punjab vs Pune Warriors,Dr DY Patil Sports Academy Mumbai,Kings XI Punjab,bat,Kings XI Punjab,112-8,Pune Warriors,113-3,12,14,1,4
1178422,2019-04-28,Kolkata Knight Riders,34 runs,Kolkata Knight Riders vs Mumbai Indians,Eden Gardens,Mumbai Indians,field,Kolkata Knight Riders,232-2,Mumbai Indians,198-7,21,14,15,14
335984,2008-04-19,Delhi Daredevils,9 wickets,Delhi Daredevils vs Rajasthan Royals,Arun Jaitley Stadium Delhi,Rajasthan Royals,bat,Rajasthan Royals,129-8,Delhi Daredevils,132-1,14,18,3,1
1304064,2022-04-09,Royal Challengers Bangalore,7 wickets,Mumbai Indians vs Royal Challengers Bangalore,Maharashtra Cricket Association Stadium Pune,Royal Challengers Bangalore,field,Mumbai Indians,151-6,Royal Challengers Bangalore,152-3,14,10,7,7
734017,2014-05-19,Mumbai Indians,25 runs,Mumbai Indians vs Rajasthan Royals,Sardar Patel Stadium Motera,Mumbai Indians,bat,Mumbai Indians,178-3,Rajasthan Royals,153-8,12,7,9,8
598026,2013-04-22,Chennai Super Kings,5 wickets,Chennai Super Kings vs Rajasthan Royals,MA Chidambaram Stadium Chepauk Chennai,Rajasthan Royals,bat,Rajasthan Royals,185-4,Chennai Super Kings,186-5,12,18,7,4
1216511,2020-10-06,Mumbai Indians,57 runs,Mumbai Indians vs Rajasthan Royals,Sheikh Zayed Stadium,Mumbai Indians,bat,Mumbai Indians,193-4,Rajasthan Royals,136-10,18,11,8,6
501214,2011-04-17,Kolkata Knight Riders,8 wickets,Kolkata Knight Riders vs Rajasthan Royals,Eden Gardens,Kolkata Knight Riders,field,Rajasthan Royals,81-10,Kolkata Knight Riders,85-2,6,7,1,1
419116,2010-03-19,Chennai Super Kings,5 wickets,Chennai Super Kings vs Delhi Daredevils,Arun Jaitley Stadium Delhi,Delhi Daredevils,bat,Delhi Daredevils,185-6,Chennai Super Kings,190-5,21,17,5,11
1181768,2019-05-12,Mumbai Indians,1 runs,Chennai Super Kings vs Mumbai Indians,Rajiv Gandhi International Stadium Uppal Hyderabad,Mumbai Indians,bat,Mumbai Indians,149-8,Chennai Super Kings,148-7,9,11,9,6
335992,2008-04-26,Rajasthan Royals,7 wickets,Rajasthan Royals vs Royal Challengers Bangalore,M Chinnaswamy Stadium Bengaluru,Rajasthan Royals,field,Royal Challengers Bangalore,135-8,Rajasthan Royals,138-3,12,22,7,2
1304072,2022-04-16,Lucknow Super Giants,18 runs,Lucknow Super Giants vs Mumbai Indians,Brabourne Stadium Mumbai,Mumbai Indians,field,Lucknow Super Giants,199-4,Mumbai Indians,181-9,20,18,8,5
734001,2014-05-12,Mumbai Indians,7 wickets,Mumbai Indians vs Sunrisers Hyderabad,Rajiv Gandhi International Stadium Uppal Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,157-3,Mumbai Indians,160-3,16,15,5,6
829733,2015-04-18,Kolkata Knight Riders,4 wickets,Kings XI Punjab vs Kolkata Knight Riders,Maharashtra Cricket Association Stadium Pune,Kolkata Knight Riders,field,Kings XI Punjab,155-9,Kolkata Knight Riders,159-6,10,21,7,4
1216546,2020-10-20,Kings XI Punjab,5 wickets,Delhi Capitals vs Kings XI Punjab,Dubai International Cricket Stadium,Delhi Capitals,bat,Delhi Capitals,164-5,Kings XI Punjab,167-5,14,14,5,7
548369,2012-05-15,Delhi Daredevils,5 wickets,Delhi Daredevils vs Kings XI Punjab,Arun Jaitley Stadium Delhi,Kings XI Punjab,bat,Kings XI Punjab,136-8,Delhi Daredevils,140-5,19,18,1,3
598071,2013-05-22,Rajasthan Royals,4 wickets,Rajasthan Royals vs Sunrisers Hyderabad,Arun Jaitley Stadium Delhi,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,132-7,Rajasthan Royals,135-6,11,12,4,6
419141,2010-04-05,Rajasthan Royals,2 runs,Deccan Chargers vs Rajasthan Royals,Vidarbha Cricket Association Stadium Jamtha,Rajasthan Royals,bat,Rajasthan Royals,159-10,Deccan Chargers,157-10,14,15,4,5
1082621,2017-04-27,Gujarat Lions,7 wickets,Gujarat Lions vs Royal Challengers Bangalore,M Chinnaswamy Stadium Bengaluru,Gujarat Lions,field,Royal Challengers Bangalore,134-10,Gujarat Lions,135-3,9,13,4,7
336039,2008-05-31,Chennai Super Kings,9 wickets,Chennai Super Kings vs Kings XI Punjab,Wankhede Stadium Mumbai,Kings XI Punjab,bat,Kings XI Punjab,112-8,Chennai Super Kings,116-1,11,13,2,4
501243,2011-05-05,Delhi Daredevils,4 wickets,Deccan Chargers vs Delhi Daredevils,Rajiv Gandhi International Stadium Uppal Hyderabad,Delhi Daredevils,field,Deccan Chargers,175-5,Delhi Daredevils,179-6,18,17,4,7
1254109,2021-10-03,Kolkata Knight Riders,6 wickets,Kolkata Knight Riders vs Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,115-8,Kolkata Knight Riders,119-4,8,17,4,0
980955,2016-05-01,Kings XI Punjab,23 runs,Gujarat Lions vs Kings XI Punjab,Saurashtra Cricket Association Stadium,Gujarat Lions,field,Kings XI Punjab,154-10,Gujarat Lions,131-9,15,11,1,2
1136561,2018-04-07,Chennai Super Kings,1 wickets,Chennai Super Kings vs Mumbai Indians,Wankhede Stadium Mumbai,Chennai Super Kings,field,Mumbai Indians,165-4,Chennai Super Kings,169-9,18,11,5,10
501238,2011-05-02,Kochi Tuskers Kerala,7 wickets,Delhi Daredevils vs Kochi Tuskers Kerala,Arun Jaitley Stadium Delhi,Kochi Tuskers Kerala,field,Delhi Daredevils,140-6,Kochi Tuskers Kerala,141-3,16,17,2,3
548312,2012-04-08,Rajasthan Royals,22 runs,Kolkata Knight Riders vs Rajasthan Royals,Sawai Mansingh Stadium Jaipur,Kolkata Knight Riders,field,Rajasthan Royals,164-5,Kolkata Knight Riders,142-10,13,10,6,5
1216497,2020-10-24,Kolkata Knight Riders,59 runs,Delhi Capitals vs Kolkata Knight Riders,Sheikh Zayed Stadium,Delhi Capitals,field,Kolkata Knight Riders,194-6,Delhi Capitals,135-9,24,11,6,3
1178418,2019-04-25,Rajasthan Royals,3 wickets,Kolkata Knight Riders vs Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Kolkata Knight Riders,175-6,Rajasthan Royals,177-7,14,18,11,8
336015,2008-05-11,Rajasthan Royals,3 wickets,Delhi Daredevils vs Rajasthan Royals,Sawai Mansingh Stadium Jaipur,Rajasthan Royals,field,Delhi Daredevils,156-7,Rajasthan Royals,159-7,10,13,5,6
548345,2012-04-29,Delhi Daredevils,1 runs,Delhi Daredevils vs Rajasthan Royals,Arun Jaitley Stadium Delhi,Delhi Daredevils,bat,Delhi Daredevils,152-6,Rajasthan Royals,151-3,13,17,5,1
392220,2009-05-11,Deccan Chargers,53 runs,Deccan Chargers vs Rajasthan Royals,De Beers Diamond Oval,Deccan Chargers,bat,Deccan Chargers,166-7,Rajasthan Royals,113-10,8,10,8,1
1254060,2021-04-11,Kolkata Knight Riders,10 runs,Kolkata Knight Riders vs Sunrisers Hyderabad,MA Chidambaram Stadium Chepauk Chennai,Sunrisers Hyderabad,field,Kolkata Knight Riders,187-6,Sunrisers Hyderabad,177-5,18,9,8,10
1359530,2023-05-11,Rajasthan Royals,9 wickets,Kolkata Knight Riders vs Rajasthan Royals,Eden Gardens Kolkata,Rajasthan Royals,field,Kolkata Knight Riders,149-8,Rajasthan Royals,151-1,8,15,8,10
980979,2016-05-10,Sunrisers Hyderabad,4 runs,Rising Pune Supergiants vs Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,137-8,Rising Pune Supergiants,133-8,8,10,7,4
1359475,2023-03-31,Gujarat Titans,5 wickets,Chennai Super Kings vs Gujarat Titans,Narendra Modi Stadium Ahmedabad,Gujarat Titans,field,Chennai Super Kings,178-7,Gujarat Titans,182-5,10,15,13,8
336003,2008-05-03,Kings XI Punjab,9 runs,Kings XI Punjab vs Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium Mohali Chandigarh,Kings XI Punjab,bat,Kings XI Punjab,178-6,Kolkata Knight Riders,169-6,22,9,4,9
829709,2015-04-10,Rajasthan Royals,26 runs,Kings XI Punjab vs Rajasthan Royals,Maharashtra Cricket Association Stadium Pune,Kings XI Punjab,field,Rajasthan Royals,162-7,Kings XI Punjab,136-8,10,14,7,3
548353,2012-05-05,Kolkata Knight Riders,7 runs,Kolkata Knight Riders vs Pune Warriors,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,150-5,Pune Warriors,143-8,9,11,4,4
1359526,2023-05-07,Sunrisers Hyderabad,4 wickets,Rajasthan Royals vs Sunrisers Hyderabad,Sawai Mansingh Stadium Jaipur,Rajasthan Royals,bat,Rajasthan Royals,214-2,Sunrisers Hyderabad,217-6,19,15,11,13
1254076,2021-04-25,Chennai Super Kings,69 runs,Chennai Super Kings vs Royal Challengers Bangalore,Wankhede Stadium Mumbai,Chennai Super Kings,bat,Chennai Super Kings,191-4,Royal Challengers Bangalore,122-9,15,10,11,4
