player,country,ipl_team,batting_style,age,debut
A Ashish Reddy, INDIA, SRH, RHB, ,
A Badoni, INDIA, RCB, LHB, ,
A Chandila, INDIA, RR, RHB, ,
A Chopra, INDIA, KKR, RHB, ,
A Choudhary, INDIA, RCB, LHB, ,
A Dananjaya, SRI LANKA, MI, RHB, ,
A Flintoff, ENGLAND, CSK, RHB, ,
A Kumble, INDIA, RCB, RHB, ,
A Manohar, INDIA, CSK, RHB, ,
A Mishra, INDIA, DD/DC, RHB, XXy, 2008-Present
A Mithun, INDIA, RCB, RHB, XXy, 2009-2019
A Mukund, INDIA, CSK, LHB, XXy, 2008-2013
A Nehra, INDIA, Various Teams, RHB, XXy, 2008-2016
A Nel, SOUTH AFRICA, DD/DC, RHB, XXy, 2008-2009
A Nortje, SOUTH AFRICA, DC, RHB, XXy, 2019-Present
A Singh, INDIA, KXIP, RHB, XXy, 2008-2016
A Symonds, AUSTRALIA, Various Teams, RHB, XXy, 2008-2012
A Tomar, INDIA, KKR, RHB, XXy, 2008-2012
A Uniyal, INDIA, DD/DC, RHB, XXy, 2008-2009
A Zampa, AUSTRALIA, RCB, RHB, XXy, 2016-Present
AA Bilakhia, INDIA, RR, LHB, XXy, 2008-2010
AA Chavan, INDIA, RR, LHB, XXy, 2008-2012
AA Jhunjhunwala, INDIA, Various Teams, RHB, XXy, 2008-2013
AA Kazi, INDIA, RR, LHB, XXy, 2011-2013
AA Noffke, AUSTRALIA, RCB, RHB, XXy, 2008-2008
AB Agarkar, INDIA, KKR, RHB, XXy, 2008-2013
AB Barath, WEST INDIES, RCB, RHB, XXy, 2010-2011
AB Dinda, INDIA, Various Teams, RHB, XXy, 2008-2017
AB McDonald, AUSTRALIA, DD/DC, RHB, XXy, 2009-2010
AB de Villiers, SOUTH AFRICA, RCB, RHB, XXy, 2008-2021
AC Blizzard, AUSTRALIA, MI, LHB, XXy, 2011-2012
AC Gilchrist, AUSTRALIA, Various Teams, LHB, XXy, 2008-2013
AC Thomas, ENGLAND, Various Teams, Right-HB, XXy, 2008-2013
AC Voges, AUSTRALIA, RR, Right-HB, XXy, 2008-2013
AD Hales, ENGLAND, Various Teams, RHB, XXy, 2015-Present
AD Mascarenhas, ENGLAND, Various Teams, RHB, XXy, 2008-2012
AD Mathews, SRI LANKA, Various Teams, RHB, XXy, 2010-2021
AD Nath, INDIA, KKR, Right-HB, XXy, 2016-2016
AD Russell, WEST INDIES, Various Teams, Right-HB, XXy, 2012-Present
AF Milne, NEW ZEALAND, RCB, Right-HB, XXy, 2018-2020
AG Murtaza, INDIA, RCB, Left-HB, XXy, 2011-2011
AG Paunikar, INDIA, DD/DC, Right-HB, XXy, 2010-2011
AJ Finch, AUSTRALIA, Various Teams, RHB, XXy, 2010-Present
