bowler,bowling_team
P Kumar,Royal Challengers Bangalore
Z Khan,Royal Challengers Bangalore
AA Noffke,Royal Challengers Bangalore
JH Kallis,Royal Challengers Bangalore
SB Joshi,Royal Challengers Bangalore
CL White,Royal Challengers Bangalore
AB Dinda,Kolkata Knight Riders
I Sharma,Kolkata Knight Riders
AB Agarkar,Kolkata Knight Riders
SC Ganguly,Kolkata Knight Riders
LR Shukla,Kolkata Knight Riders
B Lee,Punjab Kings
S Sreesanth,Punjab Kings
JR Hopes,Punjab Kings
IK Pathan,Punjab Kings
K Goel,Punjab Kings
PP Chawla,Punjab Kings
WA Mota,Punjab Kings
JDP Oram,Chennai Super Kings
MS Gony,Chennai Super Kings
M Muralitharan,Chennai Super Kings
P Amarnath,Chennai Super Kings
Joginder Sharma,Chennai Super Kings
GD McGrath,Delhi Capitals
B Geeves,Delhi Capitals
MF Maharoof,Delhi Capitals
R Bhatia,Delhi Capitals
DL Vettori,Delhi Capitals
MM Patel,Rajasthan Royals
SR Watson,Rajasthan Royals
SK Trivedi,Rajasthan Royals
SK Warne,Rajasthan Royals
YK Pathan,Rajasthan Royals
D Salunkhe,Rajasthan Royals
M Kartik,Kolkata Knight Riders
Mohammad Hafeez,Kolkata Knight Riders
DJ Hussey,Kolkata Knight Riders
WPUJC Vaas,Deccan Chargers
RP Singh,Deccan Chargers
SB Styris,Deccan Chargers
SB Bangar,Deccan Chargers
A Symonds,Deccan Chargers
PP Ojha,Deccan Chargers
R Vinay Kumar,Royal Challengers Bangalore
B Akhil,Royal Challengers Bangalore
A Nehra,Mumbai Indians
SM Pollock,Mumbai Indians
DS Kulkarni,Mumbai Indians
ST Jayasuriya,Mumbai Indians
Harbhajan Singh,Mumbai Indians
AM Nayar,Mumbai Indians
Pankaj Singh,Rajasthan Royals
Mohammad Asif,Delhi Capitals
VY Mahesh,Delhi Capitals
Shahid Afridi,Deccan Chargers
DJ Bravo,Mumbai Indians
VS Yeligati,Mumbai Indians
MA Khote,Mumbai Indians
D Kalyankrishna,Deccan Chargers
VRV Singh,Punjab Kings
Sohail Tanvir,Rajasthan Royals
A Kumble,Royal Challengers Bangalore
DNT Zoysa,Deccan Chargers
SD Chitnis,Mumbai Indians
Yuvraj Singh,Punjab Kings
Shoaib Malik,Delhi Capitals
DW Steyn,Royal Challengers Bangalore
JA Morkel,Chennai Super Kings
CRD Fernando,Mumbai Indians
V Kohli,Royal Challengers Bangalore
V Sehwag,Delhi Capitals
Umar Gul,Kolkata Knight Riders
Gagandeep Singh,Punjab Kings
Y Venugopal Rao,Deccan Chargers
PJ Sangwan,Delhi Capitals
M Ntini,Chennai Super Kings
DP Vijaykumar,Deccan Chargers
SK Raina,Chennai Super Kings
S Vidyut,Chennai Super Kings
DJ Thornely,Mumbai Indians
RR Raje,Mumbai Indians
L Balaji,Chennai Super Kings
CK Kapugedera,Chennai Super Kings
AD Mascarenhas,Rajasthan Royals
A Mishra,Delhi Capitals
Shoaib Akhtar,Kolkata Knight Riders
Iqbal Abdulla,Kolkata Knight Riders
PM Sarvesh Kumar,Deccan Chargers
Abdur Razzak,Royal Challengers Bangalore
RA Jadeja,Rajasthan Royals
RR Powar,Punjab Kings
TM Dilshan,Delhi Capitals
DR Smith,Mumbai Indians
RG Sharma,Deccan Chargers
A Nel,Mumbai Indians
DB Ravi Teja,Deccan Chargers
LPC Silva,Deccan Chargers
BAW Mendis,Kolkata Knight Riders
Kamran Khan,Rajasthan Royals
T Henderson,Rajasthan Royals
JD Ryder,Royal Challengers Bangalore
T Thushara,Chennai Super Kings
A Flintoff,Chennai Super Kings
SL Malinga,Mumbai Indians
Z Khan,Mumbai Indians
DP Nannes,Delhi Capitals
AM Salvi,Delhi Capitals
YA Abdulla,Punjab Kings
VS Malik,Punjab Kings
FH Edwards,Deccan Chargers
Harmeet Singh,Deccan Chargers
CH Gayle,Kolkata Knight Riders
MC Henriques,Kolkata Knight Riders
KP Pietersen,Royal Challengers Bangalore
LRPL Taylor,Royal Challengers Bangalore
RS Bopara,Punjab Kings
A Nehra,Delhi Capitals
MK Tiwary,Delhi Capitals
Anureet Singh,Kolkata Knight Riders
RR Bose,Punjab Kings
