bowling_team,bowler,batting_team,striker
Gujarat Titans,Mohammed Shami,Chennai Super Kings,DP Conway
Gujarat Titans,HH Pandya,Gujarat Titans,WP Saha
Gujarat Titans,J Little,Punjab Kings,P Simran Singh
Gujarat Titans,Rashid Khan,Kolkata Knight Riders,Mandeep Singh
Gujarat Titans,AS Joseph,Lucknow Super Giants,KL Rahul
Gujarat Titans,Yash Dayal,Delhi Capitals,PP Shaw
Chennai Super Kings,DL Chahar,Rajasthan Royals,YBK Jaiswal
Chennai Super Kings,TU Deshpande,Sunrisers Hyderabad,Abhishek Sharma
Chennai Super Kings,RS Hangargekar,Sunrisers Hyderabad,MA Agarwal
Chennai Super Kings,MJ Santner,Mumbai Indians,RG Sharma
Chennai Super Kings,RA Jadeja,Royal Challengers Bangalore,V Kohli
Kolkata Knight Riders,UT Yadav,Punjab Kings,Atharva Taide
Kolkata Knight Riders,TG Southee,Kolkata Knight Riders,JJ Roy
Kolkata Knight Riders,SP Narine,Chennai Super Kings,RD Gaikwad
Kolkata Knight Riders,CV Varun,Chennai Super Kings,MM Ali
Kolkata Knight Riders,SN Thakur,Chennai Super Kings,BA Stokes
Punjab Kings,SM Curran,Chennai Super Kings,AT Rayudu
Punjab Kings,Arshdeep Singh,Chennai Super Kings,S Dube
Punjab Kings,NT Ellis,Chennai Super Kings,RA Jadeja
Punjab Kings,Sikandar Raza,Chennai Super Kings,MS Dhoni
Punjab Kings,R Dhawan,Chennai Super Kings,MJ Santner
Punjab Kings,RD Chahar,Gujarat Titans,Shubman Gill
Punjab Kings,Harpreet Brar,Gujarat Titans,B Sai Sudharsan
Delhi Capitals,KK Ahmed,Gujarat Titans,HH Pandya
Delhi Capitals,Mukesh Kumar,Gujarat Titans,V Shankar
Delhi Capitals,C Sakariya,Gujarat Titans,R Tewatia
Delhi Capitals,AR Patel,Gujarat Titans,Rashid Khan
Delhi Capitals,Kuldeep Yadav,Punjab Kings,S Dhawan
Lucknow Super Giants,KR Mayers,Punjab Kings,PBB Rajapaksa
Lucknow Super Giants,JD Unadkat,Punjab Kings,JM Sharma
Lucknow Super Giants,K Gowtham,Punjab Kings,Sikandar Raza
Lucknow Super Giants,Avesh Khan,Punjab Kings,SM Curran
