Team,Season,Batsmen,Runs,Bowler,Wickets
Mumbai Indians,2008,ST Jayasuriya,514,A Nehra,14
Mumbai Indians,2009,JP Duminy,372,SL Malinga,21
Mumbai Indians,2010,SR Tendulkar,618,Harbhajan Singh,20
Mumbai Indians,2011,SR Tendulkar,553,SL Malinga,30
Mumbai Indians,2012,RG Sharma,433,SL Malinga,25
Mumbai Indians,2013,RG Sharma,538,Harbhajan Singh,25
Mumbai Indians,2014,LMP Simmons,394,SL Malinga,17
Mumbai Indians,2015,LMP Simmons,540,SL Malinga,26
Mumbai Indians,2016,RG Sharma,489,JJ Bumrah,18
Mumbai Indians,2017,KA Pollard,395,JJ Bumrah,23
Mumbai Indians,2018,SA Yadav,512,HH Pandya,19
Mumbai Indians,2019,Q de Kock,529,JJ Bumrah,23
Mumbai Indians,2020,Ishan Kishan,516,JJ Bumrah,30
Mumbai Indians,2021,RG Sharma,381,JJ Bumrah,22
Mumbai Indians,2022,Ishan Kishan,418,JJ Bumrah,16
Mumbai Indians,2023,SA Yadav,605,PP Chawla,23
Royal Challengers Bangalore,2008,R Dravid,371,Z Khan,15
Royal Challengers Bangalore,2009,JH Kallis,361,A Kumble,22
Royal Challengers Bangalore,2010,JH Kallis,572,A Kumble,19
Royal Challengers Bangalore,2011,CH Gayle,608,S Aravind,22
Royal Challengers Bangalore,2012,CH Gayle,733,R Vinay Kumar,21
Royal Challengers Bangalore,2013,CH Gayle,720,R Vinay Kumar,27
Royal Challengers Bangalore,2014,AB de Villiers,395,MA Starc,17
Royal Challengers Bangalore,2015,AB de Villiers,513,YS Chahal,24
Royal Challengers Bangalore,2016,V Kohli,973,SR Watson,23
Royal Challengers Bangalore,2017,V Kohli,308,P Negi,17
Royal Challengers Bangalore,2018,V Kohli,530,UT Yadav,20
Royal Challengers Bangalore,2019,V Kohli,464,YS Chahal,18
Royal Challengers Bangalore,2020,D Padikkal,473,YS Chahal,22
Royal Challengers Bangalore,2021,GJ Maxwell,513,HV Patel,35
Royal Challengers Bangalore,2022,F du Plessis,468,PWH de Silva,27
Royal Challengers Bangalore,2023,F du Plessis,730,Mohammed Siraj,20
Kolkata Knight Riders,2008,SC Ganguly,349,Umar Gul,14
Kolkata Knight Riders,2009,BJ Hodge,365,I Sharma,11
Kolkata Knight Riders,2010,SC Ganguly,493,AB Dinda,12
Kolkata Knight Riders,2011,JH Kallis,424,Iqbal Abdulla,18
Kolkata Knight Riders,2012,G Gambhir,590,SP Narine,29
Kolkata Knight Riders,2013,G Gambhir,406,SP Narine,26
Kolkata Knight Riders,2014,RV Uthappa,660,SP Narine,22
Kolkata Knight Riders,2015,RV Uthappa,364,AD Russell,14
Kolkata Knight Riders,2016,G Gambhir,501,AD Russell,19
Kolkata Knight Riders,2017,G Gambhir,498,CR Woakes,18
Kolkata Knight Riders,2018,KD Karthik,498,Kuldeep Yadav,18
Kolkata Knight Riders,2019,AD Russell,514,AD Russell,11
Kolkata Knight Riders,2020,Shubman Gill,440,CV Varun,17
Kolkata Knight Riders,2021,Shubman Gill,478,CV Varun,20
Kolkata Knight Riders,2022,SS Iyer,401,AD Russell,21
Kolkata Knight Riders,2023,RK Singh,474,CV Varun,20
Chennai Super Kings,2008,SK Raina,421,JA Morkel,20
Chennai Super Kings,2009,ML Hayden,572,M Muralitharan,16
Chennai Super Kings,2010,SK Raina,528,M Muralitharan,16
Chennai Super Kings,2011,MEK Hussey,492,R Ashwin,21
Chennai Super Kings,2012,SK Raina,441,DJ Bravo,20
Chennai Super Kings,2013,MEK Hussey,733,DJ Bravo,34
Chennai Super Kings,2014,DR Smith,566,MM Sharma,26
Chennai Super Kings,2015,BB McCullum,436,DJ Bravo,28
Chennai Super Kings,2018,AT Rayudu,602,DJ Bravo,18
Chennai Super Kings,2019,MS Dhoni,416,Imran Tahir,26
Chennai Super Kings,2020,F du Plessis,449,SM Curran,14
Chennai Super Kings,2021,RD Gaikwad,635,SN Thakur,22
Chennai Super Kings,2022,RD Gaikwad,368,DJ Bravo,17
Chennai Super Kings,2023,DP Conway,672,TU Deshpande,24
Rajasthan Royals,2008,SR Watson,472,Sohail Tanvir,24
Rajasthan Royals,2009,RA Jadeja,295,MM Patel,18
Rajasthan Royals,2010,NV Ojha,377,SK Trivedi,13
Rajasthan Royals,2011,R Dravid,343,SK Warne,14
Rajasthan Royals,2012,AM Rahane,560,SK Trivedi,14
Rajasthan Royals,2013,SR Watson,543,JP Faulkner,33
Rajasthan Royals,2014,AM Rahane,339,JP Faulkner,17
Rajasthan Royals,2015,AM Rahane,540,CH Morris,15
Rajasthan Royals,2018,JC Buttler,548,JC Archer,15
Rajasthan Royals,2019,AM Rahane,393,S Gopal,20
Rajasthan Royals,2020,SV Samson,375,JC Archer,20
Rajasthan Royals,2021,SV Samson,484,Mustafizur Rahman,18
Rajasthan Royals,2022,JC Buttler,863,YS Chahal,29
Rajasthan Royals,2023,YBK Jaiswal,625,YS Chahal,22
Sunrisers Hyderabad,2013,S Dhawan,311,A Mishra,24
Sunrisers Hyderabad,2014,DA Warner,528,B Kumar,21
Sunrisers Hyderabad,2015,DA Warner,562,B Kumar,19
Sunrisers Hyderabad,2016,DA Warner,848,B Kumar,24
Sunrisers Hyderabad,2017,DA Warner,641,B Kumar,28
Sunrisers Hyderabad,2018,KS Williamson,735,S Kaul,24
Sunrisers Hyderabad,2019,DA Warner,692,KK Ahmed,20
Sunrisers Hyderabad,2020,DA Warner,548,Rashid Khan,20
Sunrisers Hyderabad,2021,MK Pandey,292,Rashid Khan,19
Sunrisers Hyderabad,2022,Abhishek Sharma,426,Umran Malik,23
Sunrisers Hyderabad,2023,H Klaasen,448,B Kumar,19
Punjab Kings,2008,SE Marsh,616,IK Pathan,20
Punjab Kings,2009,Yuvraj Singh,340,IK Pathan,20
Punjab Kings,2010,DPMD Jayawardene,445,IK Pathan,17
Punjab Kings,2011,SE Marsh,504,RJ Harris,17
Punjab Kings,2012,Mandeep Singh,432,P Awana,18
Punjab Kings,2013,DA Miller,418,Azhar Mahmood,16
Punjab Kings,2014,GJ Maxwell,552,AR Patel,19
Punjab Kings,2015,DA Miller,357,Anureet Singh,16
Punjab Kings,2016,M Vijay,453,Sandeep Sharma,19
Punjab Kings,2017,HM Amla,420,Sandeep Sharma,17
Punjab Kings,2018,KL Rahul,659,AJ Tye,28
Punjab Kings,2019,KL Rahul,593,Mohammed Shami,22
Punjab Kings,2020,KL Rahul,676,Mohammed Shami,23
Punjab Kings,2021,KL Rahul,626,Arshdeep Singh,20
Punjab Kings,2022,S Dhawan,460,K Rabada,23
Punjab Kings,2023,S Dhawan,373,Arshdeep Singh,18
Gujarat Titans,2022,HH Pandya,487,Mohammed Shami,21
Gujarat Titans,2023,Shubman Gill,890,MM Sharma,31
Lucknow Super Giants,2022,KL Rahul,616,Avesh Khan,19
Lucknow Super Giants,2023,MP Stoinis,408,Ravi Bishnoi,17
Kochi Tuskers Kerala,2011,BB McCullum,357,R Vinay Kumar,17
