Team,Win%,Matches
Gujarat Titans ,69.7%, 33
Rising Pune Supergiant ,62.5%, 16
Chennai Super Kings ,58.5%, 224
Lucknow Super Giants ,56.7%, 30
Mumbai Indians ,55.9%, 247
Kolkata Knight Riders ,50.2%, 237
Delhi Capitals ,49.4%, 77
Rajasthan Royals ,49.0%, 206
Royal Challengers Bangalore ,47.5%, 240
Sunrisers Hyderabad ,47.0%, 166
Punjab Kings ,45.2%, 42
Kings XI Punjab ,44.7%, 190
Gujarat Lions ,43.3%, 30
Kochi Tuskers Kerala ,42.9%, 14
Delhi Daredevils ,41.6%, 161
Deccan Chargers ,38.7%, 75
Rising Pune Supergiants ,35.7%, 14
Pune Warriors ,26.1%, 46
