Teams, Margin
Mumbai Indians vs Delhi Daredevils, 146
Royal Challengers Bangalore vs Gujarat Lions, 144
Kolkata Knight Riders vs Royal Challengers Bangalore, 140
Royal Challengers Bangalore vs Kings XI Punjab, 138
Royal Challengers Bangalore vs Pune Warriors, 130
Sunrisers Hyderabad vs Royal Challengers Bangalore, 118
Royal Challengers Bangalore vs Rajasthan Royals, 112
Kings XI Punjab vs Royal Challengers Bangalore, 111
Rajasthan Royals vs Delhi Daredevils, 105
Mumbai Indians vs Kolkata Knight Riders, 102
