Season,Batsman,Balls
2023,YBK Jaiswal,13
2022,PJ Cummins,14
2018,KL Rahul,14
2023,YBK Jaiswal,14
2017,SP Narine,15
2018,KL Rahul,15
2022,PJ Cummins,15
2014,YK Pathan,15
2023,N Pooran,15
2023,YBK Jaiswal,15
2014,YK Pathan,16
2023,N Pooran,16
2014,SK Raina,16
2018,KL Rahul,16
2023,YBK Jaiswal,16
2021,Ishan Kishan,16
2017,SP Narine,16
2021,Ishan Kishan,17
2019,HH Pandya,17
2018,Ishan Kishan,17
2018,SP Narine,17
2017,SP Narine,17
2021,KA Pollard,17
2020,N Pooran,17
2009,AC Gilchrist,17
2016,CH Morris,17
2023,YBK Jaiswal,17
2023,N Pooran,17
2013,CH Gayle,17
2014,YK Pathan,17
2014,SK Raina,17
2016,KA Pollard,17
2016,CH Morris,18
2009,AC Gilchrist,18
2021,PP Shaw,18
2020,N Pooran,18
2013,CH Gayle,18
2021,Ishan Kishan,18
2019,HH Pandya,18
2014,YK Pathan,18
2018,Ishan Kishan,18
2023,YBK Jaiswal,18
2018,JC Buttler,18
2018,SP Narine,18
2014,SK Raina,18
2023,N Pooran,18
2019,RR Pant,18
2021,KA Pollard,18
2022,MM Ali,19
2021,Ishan Kishan,19
2023,N Pooran,19
2023,AM Rahane,19
2023,JJ Roy,19
2021,YBK Jaiswal,19
2018,JC Buttler,19
2021,PP Shaw,19
2009,AC Gilchrist,19
2010,RV Uthappa,19
2012,OA Shah,19
2013,CH Gayle,19
2014,DA Miller,19
2014,YK Pathan,19
2014,SK Raina,19
2015,Harbhajan Singh,19
2021,KA Pollard,19
2015,AD Russell,19
2017,CA Lynn,19
2019,RR Pant,19
2018,SP Narine,19
2018,Ishan Kishan,19
2019,HH Pandya,19
2019,KL Rahul,19
2020,SV Samson,19
2020,N Pooran,19
2016,CH Morris,19
2023,YBK Jaiswal,19
