Bowler,4+ wickets
SP Narine,8
SL Malinga,7
YS Chahal,7
K Rabada,7
A Mishra,5
L Balaji,4
JJ Bumrah,4
MM Sharma,4
AJ Tye,4
RA Jadeja,4
CH Morris,4
B Kumar,4
HV Patel,3
JP Faulkner,3
Kuldeep Yadav,3
Imran Tahir,3
MM Patel,3
UT Yadav,3
A Kumble,3
AD Russell,3
RP Singh,2
S Aravind,2
Rashid Khan,2
Mohammed Shami,2
JD Unadkat,2
MR Marsh,2
LH Ferguson,2
NM Coulter-Nile,2
M Markande,2
KV Sharma,2
PWH de Silva,2
PP Chawla,2
Harbhajan Singh,2
Mohammed Siraj,2
Akash Madhwal,2
Yuvraj Singh,2
Sohail Tanvir,2
SB Jakati,2
YA Abdulla,2
DL Chahar,2
Umran Malik,2
DJ Bravo,2
Sandeep Sharma,2
Arshdeep Singh,2
CV Varun,2
PC Valthaty,1
TA Boult,1
PJ Cummins,1
Umar Gul,1
S Kaul,1
P Negi,1
P Awana,1
Naveen-ul-Haq,1
NT Ellis,1
VY Mahesh,1
Yash Thakur,1
Mukesh Choudhary,1
OF Smith,1
Shoaib Akhtar,1
PV Tambe,1
RJ Harris,1
S Gopal,1
S Badree,1
Mohsin Khan (2),1
SK Trivedi,1
SK Warne,1
SM Curran,1
SN Thakur,1
Shivam Mavi,1
RG Sharma,1
RD Chahar,1
SR Watson,1
R Vinay Kumar,1
R Bhatia,1
R Ashwin,1
A Chandila,1
M Ntini,1
Mohammad Nabi,1
BA Bhatt,1
DS Kulkarni,1
DR Smith,1
DR Sams,1
DJG Sammy,1
DE Bollinger,1
D Wiese,1
CRD Fernando,1
CJ Jordan,1
BJ Hodge,1
Avesh Khan,1
GD McGrath,1
AS Rajpoot,1
AS Joseph,1
AR Patel,1
AD Mathews,1
AD Mascarenhas,1
AB Dinda,1
A Zampa,1
A Singh,1
A Nehra,1
GB Hogg,1
Harpreet Brar,1
MP Stoinis,1
Karanveer Singh,1
MM Ali,1
MJ McClenaghan,1
MA Wood,1
MA Starc,1
M Theekshana,1
M Prasidh Krishna,1
M Muralitharan,1
M Morkel,1
L Ngidi,1
Kamran Khan,1
I Sharma,1
KR Sen,1
KP Appanna,1
KK Cooper,1
KA Pollard,1
JR Hazlewood,1
JP Duminy,1
JO Holder,1
JA Morkel,1
J Theron,1
Z Khan,1
