Player,Team,Against,Season
Lakshmipathy Balaji,Chennai Super Kings,Punjab Kings,2008
Amit Mishra,Delhi Capitals,Deccan Chargers,2008
M Ntini,Chennai Super Kings,Kolkata Knight Riders,2008
Yuvraj Singh,Punjab Kings,Royal Challengers Bangalore,2009
Rohit Sharma,Deccan Chargers,Mumbai Indians,2009
Yuvraj Singh,Punjab Kings,Deccan Chargers,2009
Praveen Kumar,Royal Challengers Bangalore,Rajasthan Royals,2010
Amit Mishra,Deccan Chargers,Punjab Kings,2011
Ajit Chandila,Rajasthan Royals,Pune Warriors,2012
Sunil Narine,Kolkata Knight Riders,Punjab Kings,2013
Amit Mishra,Sunrisers Hyderabad,Pune Warriors,2013
Pravin Tambe,Rajasthan Royals,Kolkata Knight Riders,2014
Shane Watson,Rajasthan Royals,Sunrisers Hyderabad,2014
Axar Patel,Punjab Kings,Gujrat Lions,2016
Samuel Badree,Royal Challengers Bangalore,Mumbai Indians,2017
Andrew Tye,Gujrat Lions,Rising Pune Supergiants,2017
Jaydev Unadkat,Rising Pune Supergiants,Sunrisers Hyderabad,2017
Sam Curran,Kings XI Punjab,Delhi Capitals,2019
Shreyas Gopal,Rajasthan Royals,Royal Challengers Bangalore,2019
Harshal Patel,Delhi Capitals,Kolkata Knight Riders,2021
Yuzvendra Chahal,Royal Challengers Bangalore,Kolkata Knight Riders,2022
Rashid Khan,Gujarat Titans,Kolkata Knight Riders,2023
