Player,Runs,Season
CH Gayle,175,2013
BB McCullum,158,2008
Q de Kock,140,2022
AB de Villiers,133,2015
KL Rahul,132,2020
AB de Villiers,129,2016
V Kohli,109,2016
Shubman Gill,129,2023
CH Gayle,128,2012
RR Pant,128,2018
M Vijay,127,2010
DA Warner,126,2017
JC Buttler,124,2021
YBK Jaiswal,124,2023
V Sehwag,122,2014
PC Valthaty,120,2011
V Sehwag,119,2011
SV Samson,119,2021
A Symonds,117,2008
SR Watson,117,2018
CH Gayle,117,2015
JC Buttler,116,2022
MEK Hussey,116,2008
SE Marsh,115,2008
WP Saha,115,2014
ST Jayasuriya,114,2008
JM Bairstow,114,2019
DA Warner,100,2019
MK Pandey,114,2009
M Vijay,113,2012
V Kohli,113,2016
RM Patidar,112,2022
DPMD Jayawardene,110,2010
AC Gilchrist,109,2008
DA Warner,109,2012
RG Sharma,109,2012
V Kohli,108,2016
Q de Kock,108,2016
CH Gayle,107,2011
BA Stokes,107,2020
DA Warner,107,2010
S Dhawan,106,2020
MA Agarwal,106,2020
JC Buttler,106,2022
SR Watson,106,2018
AC Gilchrist,106,2011
AB de Villiers,105,2009
AM Rahane,105,2019
HM Amla,104,2017
H Klaasen,104,2023
V Kohli,100,2023
Shubman Gill,104,2023
V Kohli,101,2023
SR Watson,104,2015
VR Iyer,104,2023
CH Gayle,104,2018
HM Amla,104,2017
BA Stokes,103,2017
JC Buttler,103,2022
KL Rahul,103,2022
KL Rahul,103,2022
AM Rahane,103,2012
KP Pietersen,103,2012
SA Yadav,103,2023
P Simran Singh,103,2023
SV Samson,102,2017
CH Gayle,102,2011
SV Samson,102,2019
D Padikkal,101,2021
SR Watson,101,2013
S Dhawan,101,2020
Shubman Gill,101,2023
SPD Smith,101,2016
RD Gaikwad,101,2021
DA Miller,101,2013
C Green,100,2023
V Kohli,100,2016
KL Rahul,100,2019
AT Rayudu,100,2018
YK Pathan,100,2010
SK Raina,100,2013
SR Tendulkar,100,2011
JC Buttler,100,2022
HC Brook,100,2023
BB McCullum,100,2015
V Kohli,100,2019
LMP Simmons,100,2014
