Player, Awards
AB de Villiers,25
CH Gayle,22
RG Sharma,19
DA Warner,18
MS Dhoni,17
V Kohli,16
YK Pathan,16
SR Watson,16
KA Pollard,14
RA Jadeja,14
SK Raina,14
AM Rahane,13
AD Russell,13
G Gambhir,13
A Mishra,12
S Dhawan,12
MEK Hussey,12
SP Narine,12
KL Rahul,12
DR Smith,11
V Sehwag,11
Rashid Khan,11
JC Buttler,11
RD Gaikwad,10
AT Rayudu,10
UT Yadav,10
JH Kallis,10
F du Plessis,9
SV Samson,9
Shubman Gill,9
GJ Maxwell,9
SE Marsh,9
SA Yadav,8
JJ Bumrah,8
HH Pandya,8
AR Patel,8
SR Tendulkar,8
Harbhajan Singh,8
MP Stoinis,7
AC Gilchrist,7
RV Uthappa,7
KD Karthik,7
A Nehra,6
Sandeep Sharma,6
SS Iyer,6
M Vijay,6
SL Malinga,6
JD Unadkat,6
Q de Kock,6
YS Chahal,6
