Fielder,Catches
MS Dhoni,142
KD Karthik,141
AB de Villiers,118
SK Raina,106
V Kohli,106
KA Pollard,97
RG Sharma,97
S Dhawan,96
RV Uthappa,92
RA Jadeja,90
WP Saha,87
DA Warner,81
MK Pandey,81
SV Samson,76
F du Plessis,73
DA Miller,70
AM Rahane,69
DJ Bravo,69
PA Patel,69
Q de Kock,67
NV Ojha,65
SA Yadav,64
AT Rayudu,64
RR Pant,64
KL Rahul,63
HH Pandya,58
MA Agarwal,56
AR Patel,56
SPD Smith,53
JC Buttler,52
AC Gilchrist,51
DJ Hooda,50
M Vijay,48
MK Tiwary,46
KC Sangakkara,45
GJ Maxwell,44
Ishan Kishan,43
YK Pathan,41
DR Smith,41
SS Iyer,39
KS Williamson,39
Harbhajan Singh,38
Mandeep Singh,38
SR Watson,38
KH Pandya,38
BB McCullum,37
R Ashwin,37
EJG Morgan,36
CH Morris,36
PP Chawla,36
Shubman Gill,36
UT Yadav,35
Rashid Khan,35
V Sehwag,34
DPMD Jayawardene,33
R Tewatia,32
RA Tripathi,31
R Vinay Kumar,31
RD Gaikwad,31
KM Jadhav,31
JH Kallis,30
R Parag,30
CH Gayle,30
AJ Finch,29
Yuvraj Singh,29
AD Russell,29
JP Duminy,28
G Gambhir,28
IK Pathan,28
SO Hetmyer,28
RP Singh,27
TA Boult,27
MC Henriques,27
MEK Hussey,26
DT Christian,26
B Kumar,26
SE Marsh,26
SS Tiwary,25
Mohammed Siraj,25
V Shankar,25
SN Thakur,25
DJ Hussey,25
N Pooran,25
N Rana,24
D Padikkal,24
R Bhatia,23
KK Nair,23
BA Stokes,23
SR Tendulkar,23
BJ Hodge,22
RK Singh,22
SC Ganguly,22
YS Chahal,22
HH Gibbs,22
DW Steyn,22
CL White,22
TG Southee,21
K Rabada,21
MM Sharma,21
Gurkeerat Singh,20
Z Khan,20
JM Bairstow,20
MS Bisla,20
M Manhas,20
TM Dilshan,20
MP Stoinis,20
A Symonds,20
AD Mathews,19
JD Unadkat,19
A Mishra,19
STR Binny,19
SW Billings,19
SB Jakati,19
AK Markram,19
LRPL Taylor,18
RJ Harris,18
R Dravid,18
Abdul Samad,18
DS Kulkarni,18
HV Patel,18
MM Ali,18
M Kartik,18
SP Goswami,17
A Nehra,17
S Dube,17
Shahbaz Ahmed,17
Mohammed Shami,17
SP Narine,17
JA Morkel,17
RD Chahar,17
M Rawat,16
JP Faulkner,16
K Gowtham,16
PP Shaw,16
TH David,16
J Botha,16
S Badrinath,16
I Sharma,16
MA Starc,16
M Kaif,15
Lalit Yadav,15
MG Johnson,15
Ravi Bishnoi,15
SL Malinga,15
Shivam Mavi,15
LS Livingstone,15
Sandeep Sharma,14
MV Boucher,14
M Muralitharan,14
VR Iyer,14
JO Holder,14
YBK Jaiswal,14
Tilak Varma,14
PP Ojha,14
M Shahrukh Khan,14
SM Curran,14
AM Nayar,13
LR Shukla,13
Y Venugopal Rao,13
CJ Jordan,13
P Kumar,13
M Vohra,13
YV Takawale,13
P Negi,13
NLTC Perera,12
MM Patel,12
SK Trivedi,12
DH Yagnik,12
KV Sharma,12
Iqbal Abdulla,12
CA Lynn,12
KP Pietersen,12
Shakib Al Hasan,12
JM Sharma,12
KB Arun Karthik,11
KK Cooper,11
ML Hayden,11
GJ Bailey,11
N Saini,11
M Morkel,11
JJ Bumrah,11
SK Warne,11
DB Ravi Teja,11
DL Chahar,11
Anuj Rawat,11
CJ Anderson,11
S Nadeem,11
Kuldeep Yadav,11
S Anirudha,11
Washington Sundar,11
DL Vettori,11
Mohammad Nabi,11
NM Coulter-Nile,10
