Player,Four Count
S Dhawan,750
V Kohli,646
DA Warner,646
RG Sharma,554
SK Raina,506
G Gambhir,492
RV Uthappa,481
AM Rahane,455
KD Karthik,439
AB de Villiers,414
CH Gayle,408
SR Watson,377
F du Plessis,375
PA Patel,365
AT Rayudu,359
KL Rahul,355
SA Yadav,349
MS Dhoni,349
V Sehwag,334
MK Pandey,333
JC Buttler,320
SV Samson,304
SR Tendulkar,296
BB McCullum,293
Q de Kock,287
WP Saha,278
Shubman Gill,273
R Dravid,269
SE Marsh,269
YK Pathan,263
RR Pant,262
MA Agarwal,257
JH Kallis,255
M Vijay,247
DR Smith,245
AC Gilchrist,239
SS Iyer,238
N Rana,229
GJ Maxwell,227
SPD Smith,226
KA Pollard,221
Ishan Kishan,220
Yuvraj Singh,218
AJ Finch,214
PP Shaw,208
RA Tripathi,205
DPMD Jayawardene,200
MEK Hussey,198
KC Sangakkara,195
RA Jadeja,193
DA Miller,187
KS Williamson,183
Mandeep Singh,176
HH Pandya,172
D Padikkal,167
KK Nair,161
RD Gaikwad,159
MK Tiwary,156
S Badrinath,154
AD Russell,151
YBK Jaiswal,145
TM Dilshan,140
SC Ganguly,137
KH Pandya,136
JM Bairstow,133
CA Lynn,132
JP Duminy,126
BJ Hodge,122
NV Ojha,121
ML Hayden,121
DJ Bravo,120
SP Narine,114
EJG Morgan,112
SS Tiwary,111
MP Stoinis,111
LMP Simmons,109
M Vohra,104
KM Jadhav,102
