Player,Count
V Kohli,7
CH Gayle,6
JC Buttler,5
KL Rahul,4
DA Warner,4
SR Watson,4
Shubman Gill,3
AB de Villiers,3
SV Samson,3
BB McCullum,2
V Sehwag,2
S Dhawan,2
BA Stokes,2
HM Amla,2
AM Rahane,2
Q de Kock,2
M Vijay,2
AC Gilchrist,2
SR Tendulkar,1
AT Rayudu,1
H Klaasen,1
A Symonds,1
P Simran Singh,1
SA Yadav,1
YBK Jaiswal,1
VR Iyer,1
HC Brook,1
RM Patidar,1
RD Gaikwad,1
D Padikkal,1
ST Jayasuriya,1
MA Agarwal,1
RR Pant,1
KP Pietersen,1
SE Marsh,1
JM Bairstow,1
MK Pandey,1
YK Pathan,1
SPD Smith,1
DPMD Jayawardene,1
MEK Hussey,1
WP Saha,1
LMP Simmons,1
DA Miller,1
SK Raina,1
PC Valthaty,1
RG Sharma,1
C Green,1
