Player,Matches
MS Dhoni,250
RG Sharma,243
KD Karthik,242
V Kohli,236
RA Jadeja,225
S Dhawan,217
RV Uthappa,205
AT Rayudu,204
SK Raina,204
R Ashwin,196
KA Pollard,189
AB de Villiers,183
PP Chawla,181
DA Warner,176
YK Pathan,174
AM Rahane,172
MK Pandey,170
Harbhajan Singh,163
SP Narine,162
A Mishra,161
WP Saha,160
B Kumar,160
DJ Bravo,160
G Gambhir,154
SV Samson,152
SR Watson,145
YS Chahal,145
CH Gayle,141
UT Yadav,141
PA Patel,139
SA Yadav,139
AR Patel,136
Yuvraj Singh,132
F du Plessis,129
GJ Maxwell,124
HH Pandya,123
SL Malinga,122
MA Agarwal,122
DA Miller,121
JJ Bumrah,120
P Kumar,119
KL Rahul,118
Sandeep Sharma,116
KH Pandya,113
NV Ojha,113
AD Russell,112
Mandeep Singh,111
Mohammed Shami,110
BB McCullum,109
Rashid Khan,109
DJ Hooda,107
M Vijay,106
N Rana,105
V Sehwag,104
R Vinay Kumar,104
SPD Smith,103
IK Pathan,103
I Sharma,101
SS Iyer,101
MM Sharma,100
Z Khan,99
JH Kallis,98
RR Pant,98
MK Tiwary,98
Q de Kock,96
JC Buttler,96
STR Binny,95
R Bhatia,95
DW Steyn,95
KM Jadhav,95
JD Unadkat,94
S Badrinath,94
AJ Finch,92
PP Ojha,92
DS Kulkarni,92
SS Tiwary,92
HV Patel,91
Shubman Gill,91
DR Smith,91
Ishan Kishan,91
JA Morkel,90
R Dravid,89
RA Tripathi,89
A Nehra,88
TA Boult,88
SN Thakur,86
EJG Morgan,83
JP Duminy,83
MP Stoinis,82
RP Singh,82
R Tewatia,81
CH Morris,81
AC Gilchrist,80
DPMD Jayawardene,80
Mohammed Siraj,79
AB Dinda,78
SR Tendulkar,78
KS Williamson,77
KK Nair,76
