Ground,City,Country,Match Hosted
Wankhede Stadium,Mumbai,India,109
M Chinnaswamy Stadium,Bengaluru,India,88
Eden Gardens,Kolkata,India,86
Arun Jaitley Stadium,Delhi,India,84
MA Chidambaram Stadium,Chennai,India,76
Rajiv Gandhi International Stadium,Hyderabad,India,71
Punjab Cricket Association IS Bindra Stadium,Mohali-Chandigarh,India,60
Sawai Mansingh Stadium,Jaipur,India,52
Maharashtra Cricket Association Stadium,Pune,India,51
Dubai International Cricket Stadium,Dubai,United Arab Emirates,46
Dr DY Patil Sports Academy,Mumbai,India,37
Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,37
Sharjah Cricket Stadium,Sharjah,United Arab Emirates,28
Narendra Modi Stadium,Ahmedabad,India,27
Brabourne Stadium,Mumbai,India,26
Kingsmead,Durban,South Africa,15
Barabati Stadium,Cuttack,India,13
Dr YS Rajasekhara Reddy Cricket Stadium,Visakhapatnam,India,13
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,11
SuperSport Park,Centurion,South Africa,11
Saurashtra Cricket Association Stadium,Khandheri-Rajkot,India,10
Holkar Cricket Stadium,Indore,India,9
Wanderers Stadium,Johannesburg,South Africa,8
BRSABV Ekana Cricket Stadium,Lucknow,India,7
JSCA International Stadium Complex,Ranchi,India,7
Newlands,Cape Town,South Africa,7
St George's Park,Port Elizabeth,South Africa,7
Shaheed Veer Narayan Sing International Stadium,Raipur,India,6
Nehru Stadium (Kochi),Kochi,India,5
Buffalo Park,East London,South Africa,4
Green Park,Kanpur,India,4
Diamond Oval,Kimberley,South Africa,3
Vidarbha Cricket Association Stadium,Nagpur,India,3
Barsapara Cricket Stadium,Guwahati,India,2
Mangaung Oval,Bloemfontein,South Africa,2
