Player_Out,Run_Out_Count
S Dhawan,16
G Gambhir,16
SK Raina,15
AT Rayudu,15
AB de Villiers,14
KD Karthik,14
M Vijay,12
Y Venugopal Rao,11
YK Pathan,11
RG Sharma,11
A Mishra,10
DA Warner,10
PA Patel,10
F du Plessis,10
DJ Hooda,10
P Kumar,10
RV Uthappa,9
WP Saha,9
IK Pathan,9
MS Dhoni,9
SR Watson,9
SV Samson,9
V Kohli,9
DPMD Jayawardene,8
MK Pandey,8
EJG Morgan,8
AM Nayar,8
Shubman Gill,8
R Ashwin,8
PP Chawla,8
RR Pant,7
Harbhajan Singh,7
AR Patel,7
KM Jadhav,7
SP Narine,7
AM Rahane,7
V Sehwag,7
Ishan Kishan,6
SL Malinga,6
MK Tiwary,6
DJ Hussey,6
SA Yadav,6
KA Pollard,6
STR Binny,6
AD Russell,6
SR Tendulkar,6
Yuvraj Singh,6
JP Duminy,6
NV Ojha,6
SA Asnodkar,6
R Dravid,6
DR Smith,5
B Kumar,5
GJ Maxwell,5
BB McCullum,5
MS Bisla,5
RA Jadeja,5
OA Shah,5
CL White,5
Shakib Al Hasan,5
JC Buttler,5
JH Kallis,5
R Bhatia,5
SK Warne,5
SPD Smith,4
DS Kulkarni,4
RA Tripathi,4
Washington Sundar,4
P Dogra,4
PP Shaw,4
A Symonds,4
FY Fazal,4
R Sharma,4
S Badrinath,4
KS Williamson,4
P Negi,4
HV Patel,4
PP Ojha,4
K Goel,4
M Vohra,4
TM Dilshan,4
KH Pandya,4
JA Morkel,4
VVS Laxman,4
Q de Kock,4
SS Iyer,4
MEK Hussey,4
AD Mathews,4
R Vinay Kumar,4
Rashid Khan,4
DT Christian,4
MM Ali,4
Mandeep Singh,4
SE Marsh,4
SO Hetmyer,4
SS Tiwary,4
GJ Bailey,4
MA Agarwal,4
MP Stoinis,4
HH Pandya,4
RP Singh,4
Kuldeep Yadav,4
DA Miller,3
AA Jhunjhunwala,3
S Sohal,3
Tilak Varma,3
MM Sharma,3
HH Gibbs,3
L Ronchi,3
CV Varun,3
Azhar Mahmood,3
TG Southee,3
RD Gaikwad,3
K Gowtham,3
K Rabada,3
Bipul Sharma,3
N Rana,3
JD Unadkat,3
TL Suman,3
M Shahrukh Khan,3
