Player,Total Runs
V Kohli,7273
S Dhawan,6617
DA Warner,6399
RG Sharma,6213
SK Raina,5536
AB de Villiers,5181
MS Dhoni,5082
CH Gayle,4997
RV Uthappa,4954
KD Karthik,4517
AM Rahane,4400
AT Rayudu,4348
G Gambhir,4217
KL Rahul,4169
F du Plessis,4133
SV Samson,3888
SR Watson,3880
MK Pandey,3817
KA Pollard,3437
SA Yadav,3249
JC Buttler,3224
YK Pathan,3222
Q de Kock,2910
BB McCullum,2882
RR Pant,2851
PA Patel,2848
WP Saha,2798
Shubman Gill,2790
SS Iyer,2780
Yuvraj Singh,2754
V Sehwag,2728
GJ Maxwell,2720
DA Miller,2714
RA Jadeja,2692
M Vijay,2619
MA Agarwal,2605
N Rana,2594
SPD Smith,2495
SE Marsh,2489
JH Kallis,2427
DR Smith,2385
SR Tendulkar,2334
Ishan Kishan,2324
HH Pandya,2318
AD Russell,2266
R Dravid,2174
KS Williamson,2105
AJ Finch,2092
RA Tripathi,2071
AC Gilchrist,2069
