Player_Out,Stumped_Count
SK Raina,8
RV Uthappa,8
S Dhawan,7
F du Plessis,7
WP Saha,7
AT Rayudu,7
AB de Villiers,6
PA Patel,6
MC Henriques,5
DA Warner,5
MM Ali,5
Mandeep Singh,5
V Kohli,5
M Vijay,5
DJ Hooda,5
AM Rahane,4
MS Bisla,4
SV Samson,4
SS Iyer,4
SR Watson,4
MK Tiwary,4
JC Buttler,4
KD Karthik,4
MA Agarwal,3
KC Sangakkara,3
AR Patel,3
NV Ojha,3
STR Binny,3
CJ Anderson,3
SS Tiwary,3
CH Gayle,3
SR Tendulkar,3
LS Livingstone,3
DA Miller,3
MS Dhoni,3
RE van der Merwe,3
SK Warne,3
DPMD Jayawardene,3
S Badrinath,3
Shubman Gill,3
BB McCullum,3
AJ Finch,3
Yuvraj Singh,3
KP Pietersen,3
AC Gilchrist,3
RG Sharma,3
IK Pathan,3
MK Pandey,2
P Negi,2
G Gambhir,2
BJ Hodge,2
MK Lomror,2
MJ Lumb,2
SP Narine,2
SW Billings,2
M Kaif,2
R Ashwin,2
A Symonds,2
MD Mishra,2
KH Pandya,2
KS Williamson,2
GJ Bailey,2
OA Shah,2
KK Nair,2
RD Gaikwad,2
MP Stoinis,2
KL Rahul,2
YK Pathan,2
SC Ganguly,2
Gurkeerat Singh,2
N Rana,2
GC Smith,2
AK Markram,2
DL Chahar,2
PP Chawla,2
HH Gibbs,2
SE Marsh,2
ML Hayden,2
KM Jadhav,2
KA Pollard,1
SA Yadav,1
R Sathish,1
SO Hetmyer,1
P Simran Singh,1
SS Prabhudessai,1
TM Dilshan,1
VR Iyer,1
CR Woakes,1
MG Johnson,1
R Vinay Kumar,1
Abhishek Sharma,1
PP Shaw,1
DJ Hussey,1
D Brevis,1
MF Maharoof,1
AG Paunikar,1
LRPL Taylor,1
A Badoni,1
R Bhatia,1
BCJ Cutting,1
DB Ravi Teja,1
M Morkel,1
KB Arun Karthik,1
UT Yadav,1
R Dhawan,1
JP Duminy,1
KK Cooper,1
UBT Chand,1
Azhar Mahmood,1
Shivam Mavi,1
LR Shukla,1
A Chopra,1
RP Singh,1
Q de Kock,1
SW Tait,1
P Dogra,1
JR Philippe,1
LA Carseldine,1
RA Jadeja,1
JJ Roy,1
AD Russell,1
HH Pandya,1
HC Brook,1
RT Ponting,1
CJ Ferguson,1
Mohammed Shami,1
AU Rashid,1
DT Christian,1
MEK Hussey,1
PA Reddy,1
UT Khawaja,1
JD Ryder,1
E Lewis,1
MJ McClenaghan,1
GH Vihari,1
AS Raut,1
S Gopal,1
AP Majumdar,1
MJ Clarke,1
C de Grandhomme,1
AG Murtaza,1
AA Bilakhia,1
JM Kemp,1
J Suchith,1
Sunny Gupta,1
RR Pant,1
CM Gautam,1
SM Curran,1
Ishan Kishan,1
R Dravid,1
EJG Morgan,1
M Shahrukh Khan,1
K Goel,1
AD Mathews,1
V Sehwag,1
M Ashwin,1
Shahbaz Ahmed,1
CH Morris,1
DJ Bravo,1
DJG Sammy,1
S Anirudha,1
RE Levi,1
A Singh,1
CL White,1
SN Khan,1
