Fielder,Stumped_Count
MS Dhoni,42
KD Karthik,36
RV Uthappa,32
WP Saha,24
RR Pant,18
Q de Kock,16
PA Patel,16
AC Gilchrist,16
SV Samson,15
NV Ojha,10
KC Sangakkara,9
AB de Villiers,8
SP Goswami,7
KM Jadhav,7
MS Bisla,7
BB McCullum,6
KL Rahul,5
H Klaasen,5
Ishan Kishan,5
AP Tare,5
DH Yagnik,5
CM Gautam,4
YV Takawale,4
Kamran Akmal,4
JM Bairstow,4
JM Sharma,4
N Pooran,4
MV Boucher,3
PR Shah,3
M Rawat,2
AT Rayudu,2
KB Arun Karthik,2
Vishnu Vinod,2
DJ Jacobs,2
N Saini,2
SP Jackson,2
Gurkeerat Singh,1
KH Devdhar,1
MS Wade,1
SW Billings,1
JC Buttler,1
KS Bharat,1
AP Tare (sub),1
