bowler,count
YS Chahal,187
DJ Bravo,183
PP Chawla,179
A Mishra,173
R Ashwin,171
SL Malinga,170
B Kumar,170
SP Narine,163
RA Jadeja,152
Harbhajan Singh,150
JJ Bumrah,148
Rashid Khan,139
UT Yadav,136
Mohammed Shami,127
Sandeep Sharma,124
MM Sharma,119
AR Patel,112
HV Patel,111
K Rabada,109
A Nehra,106
R Vinay Kumar,105
TA Boult,105
Z Khan,102
DW Steyn,97
CH Morris,96
AD Russell,96
SR Watson,92
JD Unadkat,91
P Kumar,90
RP Singh,90
SN Thakur,89
PP Ojha,89
DS Kulkarni,86
JA Morkel,85
Imran Tahir,82
I Sharma,82
IK Pathan,80
Mohammed Siraj,78
M Morkel,77
L Balaji,76
MM Patel,74
DL Chahar,72
MJ McClenaghan,71
Kuldeep Yadav,71
R Bhatia,71
KH Pandya,70
KA Pollard,69
KV Sharma,69
AB Dinda,69
JH Kallis,65
